t_wall,strategy,theta,instance,family,value,seconds,status,detail
30.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,95.101753,30.12,ok,
30.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,96.122121,30.19,ok,
30.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,95.358296,30.53,ok,
30.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,94.220548,30.72,ok,
30.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,93.532178,30.77,ok,
30.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 4 --min_fr=0.98 -t 30,BR9,94.745640,30.87,ok,
31.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,94.140318,31.64,ok,
32.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,94.944210,32.75,ok,
60.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 20 --min_fr=1.0 -t 30,BR7,95.878379,30.13,ok,
60.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 35 --min_fr=1.0 -t 30,BR6,95.510046,30.12,ok,
61.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 9 --min_fr=1.0 -t 30,BR3,96.320665,30.24,ok,
61.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 95 --min_fr=1.0 -t 30,BR5,96.726785,30.39,ok,
61.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,94.395506,31.29,ok,
61.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,94.401990,30.85,ok,
61.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,96.160503,30.10,ok,
63.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 96 --min_fr=0.98 -t 30,BR8,94.363727,30.69,ok,
91.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 41 --min_fr=0.98 -t 30,BR12,94.362966,30.73,ok,
91.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 59 --min_fr=0.98 -t 30,BR9,94.439930,30.78,ok,
91.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 5 --min_fr=1.0 -t 30,BR1,95.817561,30.10,ok,
91.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 13 --min_fr=1.0 -t 30,BR2,95.443638,30.06,ok,
92.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 36 --min_fr=0.98 -t 30,BR11,94.046139,30.91,ok,
92.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 34 --min_fr=0.98 -t 30,BR14,94.287425,30.95,ok,
92.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 46 --min_fr=0.98 -t 30,BR15,94.848606,31.61,ok,
94.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 69 --min_fr=0.98 -t 30,BR10,93.573804,30.82,ok,
121.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 47 --min_fr=1.0 -t 30,BR7,94.604033,30.09,ok,
121.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 93 --min_fr=1.0 -t 30,BR6,96.995309,30.26,ok,
121.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 8 --min_fr=1.0 -t 30,BR5,95.822513,30.14,ok,
122.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 30 --min_fr=1.0 -t 30,BR3,95.829419,30.19,ok,
122.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 43 --min_fr=0.98 -t 30,BR13,94.857838,31.15,ok,
122.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 67 --min_fr=1.0 -t 30,BR4,95.518893,30.21,ok,
123.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 4 --min_fr=0.98 -t 30,BR8,95.304460,30.62,ok,
125.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 65 --min_fr=0.98 -t 30,BR12,94.231659,31.59,ok,
152.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 95 --min_fr=0.98 -t 30,BR11,94.220868,30.58,ok,
152.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 97 --min_fr=1.0 -t 30,BR1,97.257054,30.11,ok,
152.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 88 --min_fr=0.98 -t 30,BR9,94.113036,31.57,ok,
152.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 41 --min_fr=1.0 -t 30,BR2,96.199380,30.19,ok,
153.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 99 --min_fr=0.98 -t 30,BR15,93.805299,31.46,ok,
153.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 78 --min_fr=0.98 -t 30,BR10,94.360929,30.49,ok,
155.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 94 --min_fr=0.98 -t 30,BR14,93.767123,32.79,ok,
156.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 31 --min_fr=1.0 -t 30,BR7,95.684891,30.16,ok,
182.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 31 --min_fr=1.0 -t 30,BR6,95.236676,30.17,ok,
182.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 15 --min_fr=1.0 -t 30,BR5,95.833872,30.12,ok,
182.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 36 --min_fr=1.0 -t 30,BR3,96.526403,30.09,ok,
183.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 91 --min_fr=0.98 -t 30,BR13,94.820543,30.80,ok,
183.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 76 --min_fr=1.0 -t 30,BR4,96.105630,30.30,ok,
184.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 76 --min_fr=0.98 -t 30,BR8,95.033816,30.42,ok,
186.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 70 --min_fr=0.98 -t 30,BR9,94.698102,30.57,ok,
187.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 90 --min_fr=0.98 -t 30,BR12,93.307479,31.49,ok,
213.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 96 --min_fr=1.0 -t 30,BR1,94.698637,30.08,ok,
213.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 77 --min_fr=1.0 -t 30,BR2,96.527892,30.23,ok,
213.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 53 --min_fr=0.98 -t 30,BR11,94.524976,30.71,ok,
214.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 56 --min_fr=0.98 -t 30,BR15,94.472157,32.01,ok,
214.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 15 --min_fr=0.98 -t 30,BR10,93.552511,30.64,ok,
215.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 41 --min_fr=0.98 -t 30,BR14,94.049400,32.15,ok,
216.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 39 --min_fr=1.0 -t 30,BR7,95.026428,30.10,ok,
217.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 61 --min_fr=1.0 -t 30,BR6,95.645548,30.13,ok,
243.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 30 --min_fr=1.0 -t 30,BR5,95.584185,30.15,ok,
243.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 72 --min_fr=1.0 -t 30,BR3,95.241572,30.08,ok,
244.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 54 --min_fr=0.98 -t 30,BR13,93.937850,31.18,ok,
244.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 43 --min_fr=1.0 -t 30,BR4,95.565438,30.11,ok,
245.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 13 --min_fr=0.98 -t 30,BR8,94.471216,30.50,ok,
247.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 27 --min_fr=0.98 -t 30,BR9,93.673529,30.73,ok,
247.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 45 --min_fr=0.98 -t 30,BR12,94.306738,31.83,ok,
249.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 71 --min_fr=0.98 -t 30,BR15,94.642624,32.06,ok,
273.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 72 --min_fr=1.0 -t 30,BR1,93.728003,30.07,ok,
274.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 82 --min_fr=1.0 -t 30,BR2,96.356425,30.14,ok,
274.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 85 --min_fr=0.98 -t 30,BR11,94.225793,31.07,ok,
275.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 80 --min_fr=0.98 -t 30,BR14,92.853888,30.47,ok,
276.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 84 --min_fr=0.98 -t 30,BR10,94.381478,30.88,ok,
277.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 71 --min_fr=1.0 -t 30,BR7,95.810642,30.16,ok,
277.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 87 --min_fr=1.0 -t 30,BR6,95.985665,30.25,ok,
281.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 56 --min_fr=0.98 -t 30,BR13,93.859308,31.70,ok,
303.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 32 --min_fr=1.0 -t 30,BR5,96.089210,30.19,ok,
304.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 96 --min_fr=1.0 -t 30,BR3,96.127050,30.23,ok,
304.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 85 --min_fr=1.0 -t 30,BR4,96.404338,30.24,ok,
305.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 46 --min_fr=0.98 -t 30,BR8,94.685975,30.40,ok,
307.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 4 --min_fr=0.98 -t 30,BR12,94.933808,30.76,ok,
308.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 19 --min_fr=0.98 -t 30,BR9,94.809665,30.69,ok,
308.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 31 --min_fr=0.98 -t 30,BR15,93.651070,31.22,ok,
311.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 5 --min_fr=0.98 -t 30,BR11,93.617623,30.77,ok,
334.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 42 --min_fr=1.0 -t 30,BR1,96.183767,30.08,ok,
334.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 88 --min_fr=1.0 -t 30,BR2,92.298347,30.05,ok,
336.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 54 --min_fr=0.98 -t 30,BR10,94.557372,30.64,ok,
337.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 26 --min_fr=1.0 -t 30,BR7,95.364059,30.11,ok,
337.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 56 --min_fr=0.98 -t 30,BR14,94.386406,32.69,ok,
338.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 32 --min_fr=1.0 -t 30,BR6,96.451447,30.24,ok,
340.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 11 --min_fr=0.98 -t 30,BR13,94.316482,31.87,ok,
342.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 35 --min_fr=1.0 -t 30,BR5,95.241322,30.17,ok,
364.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 83 --min_fr=1.0 -t 30,BR3,95.378965,30.08,ok,
364.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 45 --min_fr=1.0 -t 30,BR4,95.623896,30.08,ok,
366.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 94 --min_fr=0.98 -t 30,BR8,94.465035,30.48,ok,
368.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 29 --min_fr=0.98 -t 30,BR9,94.438364,30.72,ok,
369.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 23 --min_fr=0.98 -t 30,BR12,94.046379,32.12,ok,
369.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 37 --min_fr=0.98 -t 30,BR15,93.985457,31.16,ok,
372.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 75 --min_fr=1.0 -t 30,BR1,97.085241,30.33,ok,
372.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 81 --min_fr=0.98 -t 30,BR11,94.297741,31.68,ok,
394.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 20 --min_fr=1.0 -t 30,BR2,95.223150,30.06,ok,
397.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 74 --min_fr=0.98 -t 30,BR10,94.108380,30.45,ok,
397.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 65 --min_fr=0.98 -t 30,BR14,94.274853,32.81,ok,
398.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 27 --min_fr=1.0 -t 30,BR7,95.225825,30.23,ok,
399.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 69 --min_fr=1.0 -t 30,BR6,95.212532,30.09,ok,
400.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 76 --min_fr=0.98 -t 30,BR13,94.889553,31.09,ok,
402.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 54 --min_fr=1.0 -t 30,BR5,95.854713,30.13,ok,
402.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 0 --min_fr=1.0 -t 30,BR3,95.895123,30.10,ok,
424.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 91 --min_fr=1.0 -t 30,BR4,95.402444,30.08,ok,
427.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 0 --min_fr=0.98 -t 30,BR8,94.594631,30.57,ok,
428.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 76 --min_fr=0.98 -t 30,BR12,93.912004,30.73,ok,
429.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 14 --min_fr=0.98 -t 30,BR9,94.528449,30.54,ok,
430.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 72 --min_fr=0.98 -t 30,BR15,93.952755,31.44,ok,
431.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 44 --min_fr=0.98 -t 30,BR11,93.641538,30.94,ok,
432.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 89 --min_fr=1.0 -t 30,BR1,93.695989,30.05,ok,
432.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 89 --min_fr=1.0 -t 30,BR2,95.702136,30.09,ok,
457.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 40 --min_fr=0.98 -t 30,BR14,94.131408,33.13,ok,
458.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 69 --min_fr=1.0 -t 30,BR7,94.839277,30.11,ok,
458.4,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 31 --min_fr=0.98 -t 30,BR10,94.897041,30.74,ok,
459.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 53 --min_fr=1.0 -t 30,BR6,95.687174,30.17,ok,
462.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 53 --min_fr=1.0 -t 30,BR5,96.019229,30.26,ok,
462.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 6 --min_fr=0.98 -t 30,BR13,93.421366,31.79,ok,
462.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 84 --min_fr=1.0 -t 30,BR4,97.337251,30.13,ok,
462.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 27 --min_fr=1.0 -t 30,BR3,96.372543,30.30,ok,
487.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 31 --min_fr=0.98 -t 30,BR8,94.288383,30.49,ok,
488.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 44 --min_fr=0.98 -t 30,BR9,94.649151,30.54,ok,
489.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 83 --min_fr=0.98 -t 30,BR12,93.541570,30.66,ok,
490.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 70 --min_fr=0.98 -t 30,BR15,94.164526,31.08,ok,
492.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 78 --min_fr=1.0 -t 30,BR1,95.435821,30.17,ok,
493.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 58 --min_fr=1.0 -t 30,BR2,97.156833,30.29,ok,
493.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 48 --min_fr=0.98 -t 30,BR11,94.334631,31.56,ok,
494.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 67 --min_fr=0.98 -t 30,BR14,93.417418,31.92,ok,
518.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 0 --min_fr=0.98 -t 30,BR10,94.143369,30.79,ok,
519.0,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 42 --min_fr=1.0 -t 30,BR7,96.161148,30.07,ok,
519.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 92 --min_fr=1.0 -t 30,BR6,94.696626,30.06,ok,
521.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 7 --min_fr=0.98 -t 30,BR13,93.444520,30.84,ok,
522.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 88 --min_fr=1.0 -t 30,BR5,95.790791,30.08,ok,
523.2,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 54 --min_fr=1.0 -t 30,BR3,96.176000,30.14,ok,
523.6,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 68 --min_fr=1.0 -t 30,BR4,96.716798,30.13,ok,
526.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 36 --min_fr=0.98 -t 30,BR8,94.739724,31.55,ok,
549.7,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 8 --min_fr=0.98 -t 30,BR12,93.499762,31.11,ok,
550.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 8 --min_fr=0.98 -t 30,BR9,93.201533,31.30,ok,
551.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 63 --min_fr=0.98 -t 30,BR15,93.187684,32.86,ok,
552.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 25 --min_fr=1.0 -t 30,BR1,94.649690,30.05,ok,
553.3,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 35 --min_fr=1.0 -t 30,BR2,95.331061,30.13,ok,
553.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 15 --min_fr=0.98 -t 30,BR11,93.998940,32.71,ok,
554.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 44 --min_fr=0.98 -t 30,BR14,94.106529,31.16,ok,
556.8,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 28 --min_fr=0.98 -t 30,BR10,93.875087,30.55,ok,
579.9,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 82 --min_fr=1.0 -t 30,BR7,95.315055,30.17,ok,
580.5,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 41 --min_fr=1.0 -t 30,BR6,95.647768,30.14,ok,
583.1,bsg,a=0.0;b=1.0;g=0.2;p=0.04,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 64 --min_fr=0.98 -t 30,BR13,95.270266,31.14,ok,
